id,ingredient,avg_market_price,unit,source
MOC-001,ไก่มีชีวิต (ซี.พี.),42.5,kg,Ministry of Commerce
MOC-002,ไก่มีชีวิต (ทั่วไป),42.5,kg,Ministry of Commerce
MOC-003,ไก่สดชำแหละ แข้ง ขา ตีน,74,kg,Ministry of Commerce
MOC-004,ไก่สดชำแหละ เครื่องใน,68.5,kg,Ministry of Commerce
MOC-005,ไก่สดชำแหละ โครงกระดูก,23.5,kg,Ministry of Commerce
MOC-006,ไก่สดชำแหละ น่อง สะโพก,80,kg,Ministry of Commerce
MOC-007,ไก่สดชำแหละ น่อง,80,kg,Ministry of Commerce
MOC-008,ไก่สดชำแหละ เนื้อสันใน,81,kg,Ministry of Commerce
MOC-009,ไก่สดชำแหละ เนื้ออก (ติดหนัง),67,unknown,Ministry of Commerce
MOC-010,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),75,kg,Ministry of Commerce
MOC-011,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),83.5,kg,Ministry of Commerce
MOC-012,ไก่สดชำแหละ ปีกบน,79,kg,Ministry of Commerce
MOC-013,ไก่สดชำแหละ สะโพก,86,kg,Ministry of Commerce
MOC-014,ไก่สดชำแหละ หนัง,51,kg,Ministry of Commerce
MOC-015,ไก่สดทั้งตัว (รวมเครื่องใน),66.5,kg,Ministry of Commerce
MOC-016,ไข่ไก่ คละ ณ แหล่งผลิต,3.6,piece,Ministry of Commerce
MOC-017,ไข่ไก่ เบอร์ 0,4.35,piece,Ministry of Commerce
MOC-018,ไข่ไก่ เบอร์ 1,4.15,piece,Ministry of Commerce
MOC-019,ไข่ไก่ เบอร์ 2,3.95,piece,Ministry of Commerce
MOC-020,ไข่ไก่ เบอร์ 3,3.7,piece,Ministry of Commerce
MOC-021,ไข่ไก่ เบอร์ 4,3.45,piece,Ministry of Commerce
MOC-022,ไข่ไก่ เบอร์ 5,3.25,piece,Ministry of Commerce
MOC-023,ไข่เป็ด กลาง,4.45,piece,Ministry of Commerce
MOC-024,ไข่เป็ด คละ ณ แหล่งผลิต,4.2,piece,Ministry of Commerce
MOC-025,ไข่เป็ด เล็ก,4.25,piece,Ministry of Commerce
MOC-026,ไข่เป็ด ใหญ่,4.75,piece,Ministry of Commerce
MOC-027,ไข่เป็ดเค็ม กลาง,5.45,piece,Ministry of Commerce
MOC-028,ไข่เป็ดเค็ม ใหญ่,5.75,piece,Ministry of Commerce
MOC-029,เนื้อโค ส่วนน่อง,195,kg,Ministry of Commerce
MOC-030,เนื้อโค สะโพก,200,kg,Ministry of Commerce
MOC-031,เนื้อโค สันนอก,210,kg,Ministry of Commerce
MOC-032,เนื้อโค สันใน,230,kg,Ministry of Commerce
MOC-033,เนื้อโค สามชั้น,185,kg,Ministry of Commerce
MOC-034,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,290,item,Ministry of Commerce
MOC-035,เป็ดสด (ทั้งตัว) ขนาดไซส์ S,220,item,Ministry of Commerce
MOC-036,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,320,item,Ministry of Commerce
MOC-037,เป็ดสด (ทั้งสด) ขนาดไซส์ M-MM,255,item,Ministry of Commerce
MOC-038,ลูกไก่ไข่,27.5,item,Ministry of Commerce
MOC-039,ลูกไก่เนื้อ ซีพี,19.25,item,Ministry of Commerce
MOC-040,ลูกไก่เนื้อ ทั่วไป,18,item,Ministry of Commerce
